"","AAPL","GE","TWTR","BAC","RAD","PFE"
"1980-09-23",NA,-0.0201765447667086,NA,-0.00869299348894093,NA,-0.0105708245243129
"1980-09-24",NA,-0.00466537966537972,NA,0,NA,-0.0213675213675213
"1980-09-25",NA,-0.00452561823177622,NA,0,NA,-0.00982532751091703
"1980-09-26",NA,-0.00925474914758895,NA,-0.0350909167379327,NA,-0.00882028665931656
"1980-09-29",NA,-0.0257292690921009,NA,-0.0272716705896028,NA,-0.032258064516129
"1980-09-30",NA,0.007232968881413,NA,-0.00934293268009978,NA,0.0229885057471264
"1980-10-01",NA,-0.0095190380761524,NA,-0.0188696314277743,NA,0
"1980-10-02",NA,0.0072500421514079,NA,0.00961242930907313,NA,0
"1980-10-03",NA,0.0237696685637763,NA,0,NA,0.0292134831460675
"1980-10-06",NA,0.0232177894048398,NA,0.00952852087217915,NA,0.0218340611353711
"1980-10-07",NA,-0.0113454777884308,NA,-0.009438585116889,NA,0
"1980-10-08",NA,-0.00452561823177622,NA,0.0190494311046843,NA,-0.0106837606837608
"1980-10-09",NA,0.00454619256372779,NA,0,NA,-0.0107991360691144
"1980-10-10",NA,-0.0160012930337805,NA,0,NA,0
"1980-10-13",NA,0.00229960578186605,NA,0,NA,0
"1980-10-14",NA,0.00229432972795807,NA,-0.00934293268009978,NA,0
"1980-10-15",NA,0.00457815565729236,NA,0.00943104631088532,NA,0
"1980-10-16",NA,0.00244140625,NA,-0.0186933337316463,NA,-0.00982532751091703
"1980-10-17",NA,-0.00698165286572505,NA,-0.00952091023250501,NA,-0.0187431091510475
"1980-10-20",NA,-0.00703073904512752,NA,0.00961242930907313,NA,-0.0112359550561797
"1980-10-21",NA,0.00938580602667538,NA,-0.00952091023250501,NA,-0.0227272727272728
"1980-10-22",NA,-0.00456769983686789,NA,-0.00961242930907302,NA,-0.0104651162790698
"1980-10-23",NA,-0.0209767289413306,NA,0.0291249330840309,NA,0
"1980-10-24",NA,-0.00485436893203894,NA,-0.009438585116889,NA,0
"1980-10-27",NA,-0.0023549201009252,NA,-0.00952091023250501,NA,-0.0199764982373678
"1980-10-28",NA,0.00488956331141477,NA,0.00961242930907313,NA,0.0203836930455634
"1980-10-29",NA,0.0166107382550336,NA,0.00952852087217915,NA,0
"1980-10-30",NA,0.0117181052979038,NA,-0.009438585116889,NA,-0.00940070505287893
"1980-10-31",NA,0.00473083197389901,NA,0,NA,0.0201660735468565
"1980-11-03",NA,0.00454619256372779,NA,0.00952852087217915,NA,0
"1980-11-05",NA,0.0253757879424601,NA,0.0188620926217706,NA,0.0232558139534884
"1980-11-06",NA,-0.0179697351828498,NA,-0.0370332003936394,NA,0
"1980-11-07",NA,-0.00465489566613164,NA,-0.0192325424145562,NA,0
"1980-11-10",NA,0.00919206579583931,NA,-0.00980092603473803,NA,-0.0113636363636364
"1980-11-11",NA,0.0159795461808885,NA,0.0297017169079832,NA,-0.0114942528735632
"1980-11-12",NA,0.0155709342560555,NA,0.0384574010327021,NA,0.0116279069767442
"1980-11-13",NA,0.0154870682979713,NA,-0.00925645028820044,NA,0.0643678160919541
"1980-11-14",NA,0.0108281226170506,NA,-0.0373791990918459,NA,0
